,Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
1270,16.0,7.064183673469388,20.0,7,7
1271,5.25,8.486666666666666,5.0,4,4
1272,7.75,15.18939393939394,15.6,4,4
1273,1.49,1.18,8.0,3,4
1274,1.65,3.286363636363636,8.0,3,3
1275,10.75,7.064183673469388,14.0,7,7
1276,4.75,4.642857142857143,5.3,4,4
1277,6.35,7.064183673469388,8.0,5,6
1278,4.5,4.642857142857143,5.6,4,5
1279,3.25,7.064183673469388,4.4,4,5
1280,9.0,7.064183673469388,10.9,5,6
1281,35.0,36.195757575757575,32.0,5,6
1282,22.0,15.18939393939394,26.0,7,6
1283,1.06,15.967727272727274,2.8,1,1
1284,2.92,9.743124363636364,12.0,3,4
1285,7.5,7.064183673469388,10.0,6,6
1286,13.7,9.743124363636364,20.0,5,6
1287,5.8,4.157913669064748,11.0,5,5
1288,3.4,7.064183673469388,4.0,4,5
1289,1.0,1.0,5.0,2,2
1290,0.72,2.9976595744680847,2.5,1,1
1291,2.72,2.72,5.0,4,4
1292,7.1,7.064183673469388,7.0,5,7
1293,2.4,4.157913669064748,5.0,3,3
1294,10.0,6.84,16.0,3,4
1295,6.3,4.157913669064748,10.0,5,7
1296,3.65,7.064183673469388,4.0,4,5
1297,50.0,52.91935483870968,42.0,6,6
1298,4.5,4.157913669064748,10.0,5,6
1299,4.65,2.9976595744680847,10.0,6,6
1300,5.8,4.642857142857143,5.5,4,5
1301,5.8,7.064183673469388,8.0,4,5
1302,5.75,4.642857142857143,5.5,5,5
1303,7.5,9.458333333333334,8.9,2,3
1304,4.25,7.064183673469388,4.4,10,5
1305,3.85,7.064183673469388,4.4,4,5
1306,25.0,36.195757575757575,20.0,5,6
1307,28.5,52.91935483870968,20.0,5,6
1308,10.5,7.064183673469388,14.0,7,6
1309,23.5,55.45526315789474,17.8,5,6
1310,7.5,4.080263157894737,20.0,7,6
1311,3.6,4.642857142857143,7.2,2,2
1312,8.3,3.5698529411764706,20.0,6,6
1313,4.5,4.5,10.0,6,6
1314,0.82,4.080263157894737,5.0,3,3
1315,2.95,2.5733333333333337,8.0,5,6
1316,0.5,4.157913669064748,2.4,1,1
1317,65.0,45.5,440.0,5,5
1318,4.5,7.064183673469388,4.0,4,5
1319,3.35,7.064183673469388,4.0,4,5
1320,2.94,9.743124363636364,5.2,2,2
1321,4.3,7.064183673469388,4.4,4,5
1322,4.1,7.064183673469388,4.4,4,5
1323,3.0,7.064183673469388,4.4,4,4
1324,8.5,7.064183673469388,10.9,5,6
1325,10.9,9.743124363636364,20.0,6,6
1326,11.75,9.743124363636364,20.0,5,6
1327,11.9,9.743124363636364,20.0,6,6
1328,8.95,9.743124363636364,20.0,6,6
